id,created_at,aluno_id,data,presente
2579,2025-07-25 13:33:33.963431+00,139,2025-07-25,true
2580,2025-07-25 13:33:33.963431+00,140,2025-07-25,false
2581,2025-07-25 13:33:33.963431+00,141,2025-07-25,false
2582,2025-07-25 13:33:33.963431+00,142,2025-07-25,false
2583,2025-07-25 13:33:33.963431+00,143,2025-07-25,false
2584,2025-07-25 13:33:33.963431+00,144,2025-07-25,true
2585,2025-07-25 13:33:33.963431+00,145,2025-07-25,false
2586,2025-07-25 13:33:33.963431+00,146,2025-07-25,false
2587,2025-07-25 13:33:33.963431+00,147,2025-07-25,false
2588,2025-07-25 13:33:33.963431+00,150,2025-07-25,false
2589,2025-07-25 13:33:33.963431+00,151,2025-07-25,false
2590,2025-07-25 13:33:33.963431+00,152,2025-07-25,false
2591,2025-07-25 13:33:33.963431+00,153,2025-07-25,false
2592,2025-07-25 13:33:33.963431+00,154,2025-07-25,false
2593,2025-07-25 13:33:33.963431+00,155,2025-07-25,false
2594,2025-07-25 13:33:33.963431+00,156,2025-07-25,false
2595,2025-07-25 13:33:33.963431+00,157,2025-07-25,false
2596,2025-07-25 13:33:33.963431+00,158,2025-07-25,false
2597,2025-07-25 13:33:33.963431+00,159,2025-07-25,false
2598,2025-07-25 13:33:33.963431+00,160,2025-07-25,false
2599,2025-07-25 13:33:33.963431+00,161,2025-07-25,false
2600,2025-07-25 13:33:33.963431+00,162,2025-07-25,false
2601,2025-07-25 13:33:33.963431+00,163,2025-07-25,false
2602,2025-07-25 13:33:33.963431+00,164,2025-07-25,false
2603,2025-07-25 13:33:33.963431+00,165,2025-07-25,false
2604,2025-07-25 13:33:33.963431+00,166,2025-07-25,true
2605,2025-07-25 13:33:33.963431+00,47,2025-07-25,true
2606,2025-07-25 13:33:33.963431+00,48,2025-07-25,true
2607,2025-07-25 13:33:33.963431+00,53,2025-07-25,false
2608,2025-07-25 13:33:33.963431+00,54,2025-07-25,false
2609,2025-07-25 13:33:33.963431+00,49,2025-07-25,true
2610,2025-07-25 13:33:33.963431+00,50,2025-07-25,true
2611,2025-07-25 13:33:33.963431+00,51,2025-07-25,false
2612,2025-07-25 13:33:33.963431+00,52,2025-07-25,false
2613,2025-07-25 13:33:33.963431+00,55,2025-07-25,false
2614,2025-07-25 13:33:33.963431+00,167,2025-07-25,false
2615,2025-07-25 13:33:33.963431+00,168,2025-07-25,false
2616,2025-07-25 13:33:33.963431+00,169,2025-07-25,false
2617,2025-07-25 13:33:33.963431+00,170,2025-07-25,false
2618,2025-07-25 13:33:33.963431+00,179,2025-07-25,false
2619,2025-07-25 13:33:33.963431+00,180,2025-07-25,false
2620,2025-07-25 13:33:33.963431+00,182,2025-07-25,false
2621,2025-07-25 13:33:33.963431+00,183,2025-07-25,false
2622,2025-07-25 13:33:33.963431+00,171,2025-07-25,false
2623,2025-07-25 13:33:33.963431+00,172,2025-07-25,false
2624,2025-07-25 13:33:33.963431+00,173,2025-07-25,false
2625,2025-07-25 13:33:33.963431+00,174,2025-07-25,false
